threshold,far,frr,acc,tpr,tnr,ppv,npv,f1_score
0.01,0.2968005445881552,0.0016329196603527107,0.8538333333333333,0.9983670803396473,0.7031994554118448,0.7780605752099771,0.9975857073877354,0.8745529967100557
0.02,0.14601769911504425,0.005878510777269758,0.9255,0.9941214892227302,0.8539823008849557,0.8764756694500432,0.9928769291650178,0.9315990818668707
0.03,0.089857045609258,0.013716525146962769,0.949,0.9862834748530372,0.910142954390742,0.9196102314250914,0.9845360824742269,0.9517806492278601
0.04,0.0605854322668482,0.022207707380796866,0.959,0.9777922926192031,0.9394145677331518,0.9438839848675914,0.9759547383309759,0.9605389797882579
0.05,0.04016337644656229,0.029719137818419335,0.9651666666666666,0.9702808621815807,0.9598366235534377,0.9617999352541275,0.9687392648574373,0.9660217850755974
0.06,0.025867937372362152,0.039843239712606136,0.967,0.9601567602873938,0.9741320626276379,0.9748010610079576,0.9591152815013405,0.9674234945705824
0.07,0.022123893805309734,0.05127367733507512,0.963,0.9487263226649248,0.9778761061946902,0.9781144781144782,0.9481848184818482,0.9631962864721485
0.08,0.016337644656228726,0.062050947093403,0.9603333333333334,0.937949052906597,0.9836623553437712,0.9835616438356164,0.9383116883116883,0.9602139752591108
0.09,0.012933968686181076,0.07446113651208361,0.9556666666666667,0.9255388634879164,0.9870660313138189,0.9867688022284122,0.9271099744245525,0.9551735760026964
0.1,0.009870660313138189,0.0829523187459177,0.9528333333333333,0.9170476812540823,0.9901293396868618,0.9897779344377864,0.9196964906734113,0.952025767079166
0.11,0.0068073519400953025,0.09699542782495102,0.9471666666666667,0.903004572175049,0.9931926480599047,0.992818671454219,0.9076205287713841,0.9457841628185395
0.12,0.005786249149081007,0.10973220117570215,0.9411666666666667,0.8902677988242979,0.994213750850919,0.993802406124681,0.8968375805956401,0.9391903531438415
0.13,0.005445881552076242,0.12606139777922926,0.933,0.8739386022207707,0.9945541184479237,0.9940564635958395,0.8833131801692866,0.9301355578727842
0.14,0.004424778761061947,0.14239059438275636,0.9251666666666667,0.8576094056172436,0.995575221238938,0.9950738916256158,0.8702767033620946,0.9212418873881775
0.15,0.002722940776038121,0.15447419986936642,0.9198333333333333,0.8455258001306336,0.9972770592239619,0.9969195225259915,0.8610049955921246,0.9150026506449903
0.16,0.002722940776038121,0.1698236446766819,0.912,0.8301763553233181,0.9972770592239619,0.9968627450980392,0.8492753623188406,0.9059158945117605
0.17,0.0010211027910142954,0.18354016982364468,0.9058333333333334,0.8164598301763554,0.9989788972089857,0.9988014382740711,0.8392908207034601,0.8984725965858041
0.18,0.0003403675970047651,0.1992161985630307,0.8981666666666667,0.8007838014369693,0.9996596324029953,0.9995923359152059,0.8280236819847758,0.8892112420670898
0.19,0.0003403675970047651,0.2139124755062051,0.8906666666666667,0.7860875244937949,0.9996596324029953,0.9995847176079734,0.8176503340757239,0.880073126142596
0.2,0.0003403675970047651,0.23220117570215545,0.8813333333333333,0.7677988242978445,0.9996596324029953,0.9995748299319728,0.8050986842105263,0.8684891023272996
