threshold,far,frr,acc,tpr,tnr,ppv,npv,f1_score
0.01,0.29237576582709324,0.0016329196603527107,0.856,0.9983670803396473,0.7076242341729068,0.7806435137895812,0.9976007677543186,0.876182287188306
0.02,0.1453369639210347,0.005878510777269758,0.9258333333333333,0.9941214892227302,0.8546630360789653,0.8769806972054163,0.9928825622775801,0.9318842798101944
0.03,0.08679373723621511,0.013389941214892228,0.9506666666666667,0.9866100587851078,0.9132062627637849,0.9221611721611722,0.9849486049926579,0.9532975702114231
0.04,0.06160653505786249,0.021227955584585238,0.959,0.9787720444154148,0.9383934649421375,0.9430459408432976,0.976966690290574,0.9605769230769231
0.05,0.03982300884955752,0.02939255388634879,0.9655,0.9706074461136512,0.9601769911504425,0.9621236646163807,0.9690827894194435,0.9663469354576493
0.06,0.027569775357385976,0.03886348791639451,0.9666666666666667,0.9611365120836055,0.972430224642614,0.9732142857142857,0.960013440860215,0.9671376930660532
0.07,0.021783526208304968,0.05127367733507512,0.9631666666666666,0.9487263226649248,0.9782164737916951,0.9784439205119568,0.9482019135598813,0.9633559940308407
0.08,0.016337644656228726,0.060418027433050296,0.9611666666666666,0.9395819725669498,0.9836623553437712,0.9835897435897436,0.9398373983739837,0.9610823450810089
0.09,0.01327433628318584,0.07250163291966036,0.9565,0.9274983670803396,0.9867256637168141,0.986453629732546,0.9288689522588914,0.956068002019862
0.1,0.010211027910142955,0.08197256694970607,0.9531666666666667,0.9180274330502939,0.989788972089857,0.989440337909187,0.9205444761000317,0.9523970862273421
0.11,0.006466984343090538,0.09601567602873938,0.9478333333333333,0.9039843239712606,0.9935330156569094,0.9931826336562612,0.9084967320261438,0.9464865789023765
0.12,0.005445881552076242,0.10875244937949052,0.9418333333333333,0.8912475506205094,0.9945541184479237,0.9941712204007286,0.8976958525345622,0.9399001205441707
0.13,0.004765146358066712,0.12312214239059438,0.9348333333333333,0.8768778576094056,0.9952348536419333,0.9948128936643201,0.8857921841866101,0.9321298385696928
0.14,0.0037440435670524166,0.1394513389941215,0.927,0.8605486610058785,0.9962559564329476,0.9958427815570673,0.8726893261776982,0.9232655921513665
0.15,0.0030633083730428863,0.15316786414108427,0.9203333333333333,0.8468321358589157,0.9969366916269571,0.9965411222136817,0.8619776339022954,0.9156073446327683
0.16,0.002382573179033356,0.16688438928804702,0.9136666666666666,0.833115610711953,0.9976174268209667,0.9972634870992964,0.8515398024404416,0.907829181494662
0.17,0.0013614703880190605,0.18288700195950358,0.906,0.8171129980404964,0.998638529611981,0.9984038308060654,0.8397252432741843,0.8987068965517242
0.18,0.0013614703880190605,0.19431743958197256,0.9001666666666667,0.8056825604180274,0.998638529611981,0.9983812221772562,0.8313969963162369,0.8917404662931502
0.19,0.0006807351940095302,0.21129980404964077,0.8918333333333334,0.7887001959503592,0.9993192648059904,0.9991725279271825,0.8194250627965393,0.8815477276875343
0.2,0.0003403675970047651,0.22958850424559113,0.8826666666666667,0.7704114957544089,0.9996596324029953,0.9995762711864407,0.8068681318681319,0.8701586130579123
0.21,0.0003403675970047651,0.24493794905290658,0.8748333333333334,0.7550620509470934,0.9996596324029953,0.9995676610462603,0.7965825874694874,0.860279069767442
0.22,0.0003403675970047651,0.25865447419986937,0.8678333333333333,0.7413455258001306,0.9996596324029953,0.9995596653456627,0.7876106194690266,0.8513032064504031
0.23,0.0003403675970047651,0.2782495101241019,0.8578333333333333,0.7217504898758981,0.9996596324029953,0.9995477159656264,0.7751385589865399,0.8382325052152475
0.24,0.0003403675970047651,0.294578706727629,0.8495,0.705421293272371,0.9996596324029953,0.999537251272559,0.7650429799426934,0.8271108558299828
0.25,0.0003403675970047651,0.31025473546701504,0.8415,0.689745264532985,0.9996596324029953,0.9995267392333176,0.7555955749935683,0.816231884057971
0.26,0.0003403675970047651,0.32625734813847157,0.8333333333333334,0.6737426518615284,0.9996596324029953,0.999515503875969,0.7461890243902439,0.8049161139289895
0.27,0.0003403675970047651,0.3432397126061398,0.8246666666666667,0.6567602873938603,0.9996596324029953,0.9995029821073559,0.7364593781344032,0.7926685061095783
0.28,0.0003403675970047651,0.35467015022860876,0.8188333333333333,0.6453298497713913,0.9996596324029953,0.9994941831057157,0.7300521998508576,0.7842825957531256
0.29,0.0003403675970047651,0.3726322664924886,0.8096666666666666,0.6273677335075114,0.9996596324029953,0.9994797086368367,0.7202059833251594,0.7708667736757625
0.3,0.0003403675970047651,0.3889614630960157,0.8013333333333333,0.6110385369039844,0.9996596324029953,0.999465811965812,0.7114825581395349,0.7584110255370896
0.31,0.0003403675970047651,0.4075767472240366,0.7918333333333333,0.5924232527759634,0.9996596324029953,0.9994490358126722,0.7017921146953405,0.7438999384867747
0.32,0.0003403675970047651,0.4196603527106466,0.7856666666666666,0.5803396472893534,0.9996596324029953,0.999437570303712,0.6956418758882047,0.734297520661157
0.33,0.0003403675970047651,0.43696930111038534,0.7768333333333334,0.5630306988896147,0.9996596324029953,0.9994202898550725,0.6870175438596491,0.7202841027783581
0.34,0.0003403675970047651,0.45362508164598303,0.7683333333333333,0.546374918354017,0.9996596324029953,0.9994026284348865,0.6789181692094314,0.7065033783783783
0.35,0.0003403675970047651,0.472893533638145,0.7585,0.527106466361855,0.9996596324029953,0.9993808049535604,0.6697833523375143,0.6901860166773572
0.36,0.0003403675970047651,0.48497713912475504,0.7523333333333333,0.515022860875245,0.9996596324029953,0.9993662864385298,0.664179104477612,0.6797413793103448
0.37,0.0003403675970047651,0.4990202482037884,0.7451666666666666,0.5009797517962117,0.9996596324029953,0.9993485342019544,0.6577827547592385,0.66739177724603
0.38,0.0,0.511430437622469,0.739,0.488569562377531,1.0,1.0,0.6523090586145648,0.6564282580078982
0.39,0.0,0.523514043109079,0.7328333333333333,0.476485956890921,1.0,1.0,0.6469940541730896,0.6454324264543243
0.4,0.0,0.538536903984324,0.7251666666666666,0.46146309601567603,1.0,1.0,0.6405057771964247,0.6315083798882681
0.41,0.0,0.5519268451992162,0.7183333333333334,0.4480731548007838,1.0,1.0,0.6348314606741573,0.6188543076229139
0.42,0.0,0.56629653821032,0.711,0.43370346178967994,1.0,1.0,0.6288527397260274,0.60501138952164
0.43,0.0,0.5780535597648596,0.705,0.42194644023514044,1.0,1.0,0.6240441801189465,0.5934772622875517
0.44,0.0,0.5979751796211626,0.6948333333333333,0.40202482037883736,1.0,1.0,0.6160620675193961,0.5734917307244352
0.45,0.0,0.6152841280209014,0.686,0.3847158719790986,1.0,1.0,0.6092907507258399,0.5556603773584906
0.46,0.0,0.6280209013716526,0.6795,0.3719790986283475,1.0,1.0,0.6044023863402592,0.5422518447988574
0.47,0.0,0.6391247550620509,0.6738333333333333,0.36087524493794904,1.0,1.0,0.6002042900919305,0.5303575713942884
0.48,0.0,0.6485956890920966,0.669,0.3514043109079033,1.0,1.0,0.5966693744922827,0.5200579990333495
0.49,0.0,0.6652514696276943,0.6605,0.3347485303723057,1.0,1.0,0.5905527638190955,0.5015904086126743
0.5,0.0,0.6802743305029393,0.6528333333333334,0.31972566949706077,1.0,1.0,0.5851424019119698,0.4845335313041327
0.51,0.0,0.6949706074461136,0.6453333333333333,0.30502939255388634,1.0,1.0,0.5799447295696802,0.4674674674674675
0.52,0.0,0.7093403004572175,0.638,0.2906596995427825,1.0,1.0,0.5749510763209393,0.4504048582995951
0.53,0.0,0.7217504898758981,0.6316666666666667,0.2782495101241019,1.0,1.0,0.5707070707070707,0.43536024527337763
0.54,0.0,0.7338340953625082,0.6255,0.26616590463749185,1.0,1.0,0.5666345226615236,0.42042816610781536
0.55,0.0,0.7449379490529066,0.6198333333333333,0.2550620509470934,1.0,1.0,0.5629430925464648,0.40645329169919336
0.56,0.0,0.755388634879164,0.6145,0.24461136512083606,1.0,1.0,0.5595124738145115,0.39307268433482023
0.57,0.0,0.763226649248857,0.6105,0.23677335075114303,1.0,1.0,0.5569668246445497,0.38288883020860837
0.58,0.0,0.7704114957544089,0.6068333333333333,0.22958850424559113,1.0,1.0,0.5546535774966962,0.3734395750332005
