threshold,far,frr,acc,tpr,tnr,ppv,npv,f1_score
0.01,0.2957794417971409,0.0016329196603527107,0.8543333333333333,0.9983670803396473,0.7042205582028591,0.7786551197147223,0.997589199614272,0.8749284487693189
0.02,0.14295439074200136,0.006531678641410843,0.9266666666666666,0.9934683213585892,0.8570456092579987,0.878682842287695,0.9921197793538219,0.9325567136725935
0.03,0.08883594281824371,0.013389941214892228,0.9496666666666667,0.9866100587851078,0.9111640571817563,0.9204753199268738,0.984915378955114,0.9523959646910466
0.04,0.06262763784887679,0.020574787720444153,0.9588333333333333,0.9794252122795558,0.9373723621511232,0.9421928997800817,0.9776357827476039,0.9604483586869494
0.05,0.041524846834581346,0.028412802090137166,0.9651666666666666,0.9715871979098628,0.9584751531654186,0.9606070390700678,0.9700310024112987,0.9660659197921739
0.06,0.02722940776038121,0.039190071848465055,0.9666666666666667,0.960809928151535,0.9727705922396188,0.9735274652547982,0.9597044996642041,0.9671268902038134
0.07,0.020762423417290673,0.051600261267145654,0.9635,0.9483997387328543,0.9792375765827094,0.9794266441821248,0.9479406919275124,0.9636635141861623
0.08,0.015997277059223963,0.06139777922926192,0.9608333333333333,0.9386022207707381,0.9840027229407761,0.9839096199931531,0.938941214680091,0.9607220457964233
0.09,0.01327433628318584,0.0728282168517309,0.9563333333333334,0.9271717831482691,0.9867256637168141,0.9864489228630994,0.9285714285714286,0.9558922558922559
0.1,0.010211027910142955,0.08327890267798824,0.9525,0.9167210973220118,0.989788972089857,0.9894254494183997,0.9193803351248815,0.9516867265638244
0.11,0.007147719537100068,0.09634225996080993,0.9473333333333334,0.9036577400391901,0.9928522804629,0.992467718794835,0.9081569115815691,0.945982905982906
0.12,0.005445881552076242,0.11169170476812541,0.9403333333333334,0.8883082952318746,0.9945541184479237,0.9941520467836257,0.8952205882352942,0.9382545705415659
0.13,0.0051055139550714775,0.12377531025473547,0.9343333333333333,0.8762246897452646,0.9948944860449285,0.9944403261675315,0.8852210781344639,0.9315972222222222
0.14,0.0034036759700476512,0.14075767472240366,0.9265,0.8592423252775964,0.9965963240299524,0.9962135554714123,0.8716880023816612,0.9226722777485533
0.15,0.002722940776038121,0.1541476159372959,0.92,0.8458523840627041,0.9972770592239619,0.9969207082371054,0.8612580834803057,0.9151943462897526
0.16,0.002382573179033356,0.17015022860875245,0.912,0.8298497713912476,0.9976174268209667,0.9972527472527473,0.8490730011587485,0.9058823529411765
0.17,0.0013614703880190605,0.18256041802743306,0.9061666666666667,0.8174395819725669,0.998638529611981,0.9984044674910252,0.839965645576868,0.8989046507451965
0.18,0.0006807351940095302,0.1952971913781842,0.9,0.8047028086218158,0.9993192648059904,0.9991889699918897,0.8307866440294284,0.8914616497829233
0.19,0.0006807351940095302,0.2116263879817113,0.8916666666666667,0.7883736120182887,0.9993192648059904,0.9991721854304636,0.8191964285714286,0.8813435560423513
0.2,0.0003403675970047651,0.22664924885695623,0.8841666666666667,0.7733507511430437,0.9996596324029953,0.9995778809624314,0.8088680804186175,0.8720309335297366
0.24,0.0003403675970047651,0.29327237099934683,0.8501666666666666,0.7067276290006531,0.9996596324029953,0.9995381062355658,0.7658409387222946,0.8280084178304955
0.33,0.0003403675970047651,0.43762246897452645,0.7765,0.5623775310254735,0.9996596324029953,0.9994196169471852,0.6866962824409633,0.7197492163009404
0.32,0.0003403675970047651,0.4209666884389288,0.785,0.5790333115610712,0.9996596324029953,0.9994363021420518,0.6949834358731661,0.7332506203473944
0.23,0.0003403675970047651,0.278902677988243,0.8575,0.721097322011757,0.9996596324029953,0.9995473064735174,0.7747296227908204,0.8377916903813317
0.43,0.0,0.5783801436969301,0.7048333333333333,0.42161985630306986,1.0,1.0,0.6239116585262263,0.5931541465655868
