threshold,far,frr,acc,tpr,tnr,ppv,npv,f1_score
0.01,0.29339686861810754,0.0016329196603527107,0.8555,0.9983670803396473,0.7066031313818925,0.7800459300842052,0.9975973089860644,0.8758057584873227
0.02,0.14363512593601088,0.005878510777269758,0.9266666666666666,0.9941214892227302,0.8563648740639891,0.8782458165031737,0.9928966061562746,0.9325980392156863
0.03,0.08747447243022465,0.013716525146962769,0.9501666666666667,0.9862834748530372,0.9125255275697753,0.9215746109246262,0.9845758354755784,0.9528316769206501
0.04,0.06126616746085772,0.020901371652514697,0.9593333333333334,0.9790986283474853,0.9387338325391422,0.9433606041535557,0.9773210489014883,0.9608974358974359
0.05,0.040503744043567054,0.028739386022207707,0.9655,0.9712606139777923,0.959496255956433,0.9615260265114776,0.9697282421740626,0.9663688058489034
0.06,0.026889040163376447,0.03886348791639451,0.967,0.9611365120836055,0.9731109598366235,0.9738583719391132,0.9600402955003358,0.9674556213017752
0.07,0.02110279101429544,0.0519268451992162,0.9631666666666666,0.9480731548007838,0.9788972089857045,0.9790893760539628,0.9476112026359144,0.9633316741330679
0.08,0.016337644656228726,0.06107119529719138,0.9608333333333333,0.9389288047028086,0.9836623553437712,0.9835785152240848,0.9392265193370166,0.960735171261487
0.09,0.01259360108917631,0.07217504898758981,0.957,0.9278249510124101,0.9874063989108237,0.987143849895761,0.9292120435618193,0.9565656565656565
0.1,0.009870660313138189,0.08197256694970607,0.9533333333333334,0.9180274330502939,0.9901293396868618,0.9897887323943662,0.9205696202531646,0.9525584547610979
0.11,0.007147719537100068,0.09568909209666884,0.9476666666666667,0.9043109079033311,0.9928522804629,0.9924731182795699,0.9087227414330218,0.9463431305536568
0.12,0.005786249149081007,0.10973220117570215,0.9411666666666667,0.8902677988242979,0.994213750850919,0.993802406124681,0.8968375805956401,0.9391903531438415
0.13,0.0051055139550714775,0.1247550620509471,0.9338333333333333,0.8752449379490529,0.9948944860449285,0.9944341372912802,0.8844175491679274,0.9310404724682994
0.14,0.0030633083730428863,0.13912475506205094,0.9275,0.8608752449379491,0.9969366916269571,0.9965973534971645,0.8730253353204173,0.9237778167163134
0.15,0.002722940776038121,0.15218811234487264,0.921,0.8478118876551274,0.9972770592239619,0.9969278033794163,0.8627797408716137,0.9163430991881398
0.16,0.002722940776038121,0.1681907250163292,0.9128333333333334,0.8318092749836709,0.9972770592239619,0.9968688845401175,0.8505079825834543,0.9068897988249955
0.17,0.0010211027910142954,0.18354016982364468,0.9058333333333334,0.8164598301763554,0.9989788972089857,0.9988014382740711,0.8392908207034601,0.8984725965858041
0.18,0.0006807351940095302,0.19790986283474854,0.8986666666666666,0.8020901371652515,0.9993192648059904,0.9991863303498779,0.8289102202145681,0.889855072463768
0.19,0.0003403675970047651,0.2116263879817113,0.8918333333333334,0.7883736120182887,0.9996596324029953,0.9995859213250518,0.8192468619246862,0.8815044732517802
0.2,0.0003403675970047651,0.2286087524493795,0.8831666666666667,0.7713912475506205,0.9996596324029953,0.9995768091409225,0.807533681605719,0.8707834101382489
0.24,0.0003403675970047651,0.29327237099934683,0.8501666666666666,0.7067276290006531,0.9996596324029953,0.9995381062355658,0.7658409387222946,0.8280084178304955
0.33,0.0,0.4366427171783148,0.7771666666666667,0.5633572828216852,1.0,1.0,0.6872514619883041,0.7207019009818258
0.32,0.0003403675970047651,0.42129327237099934,0.7848333333333334,0.5787067276290007,0.9996596324029953,0.9994359842075579,0.694819020581973,0.7329886246122027
0.23,0.0003403675970047651,0.2775963422599608,0.8581666666666666,0.7224036577400392,0.9996596324029953,0.9995481247175779,0.7755479271190916,0.8386729857819906
